               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.7321,              5.1256,              5.3045,           0.0032566,                   1,             0.03531,            0.010195,                   0,                   0,                   0,            0.070085,           0.0033239,           0.0033239
                   1,              3.7125,              4.9899,              5.2324,            0.010196,             0.17143,            0.009829,           0.0025832,                   0,                   0,                   0,            0.040063,           0.0066353,           0.0066353
                   2,              3.6969,              4.7094,              5.1202,             0.26948,               0.025,            0.014861,           0.0053087,                   0,                   0,                   0,            0.010019,           0.0099246,           0.0099246
                   3,              3.5667,              4.4689,              4.9379,             0.82865,                0.25,              0.2005,            0.065451,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              3.3568,              4.0699,              4.7067,             0.84122,             0.15909,             0.19703,             0.06353,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              3.0174,              3.6277,              4.3756,             0.18715,             0.57338,             0.28171,             0.12406,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.6421,              3.1683,              4.0207,             0.11434,             0.88984,              0.3607,              0.1481,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.4557,              3.0213,              3.7342,             0.24974,             0.83568,             0.36634,             0.11033,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.3323,              2.8447,              3.4936,             0.26733,             0.85357,             0.54095,             0.25252,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              2.1625,               2.657,              3.2469,             0.27932,             0.85714,             0.51107,             0.26561,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,              2.0767,              2.5416,              3.1108,             0.59848,               0.675,             0.65675,              0.2991,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              2.0087,              2.4944,              2.9767,              0.7853,             0.47727,             0.68738,             0.21108,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,              1.9332,              2.4192,              2.8985,             0.55612,                 0.7,             0.63636,             0.30699,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,              1.8787,              2.3326,              2.8025,             0.63135,             0.70093,             0.75438,              0.4374,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              1.8134,               2.238,              2.7314,              0.5325,                0.75,             0.59333,              0.3126,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              1.7969,              2.1946,              2.6747,             0.70828,             0.60233,             0.59463,             0.33908,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,              1.7214,               2.202,              2.6206,             0.66328,                0.65,              0.7978,             0.46537,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              1.7277,              2.1743,               2.578,             0.63125,             0.69864,             0.66372,             0.41855,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,              1.6891,              2.1503,              2.5698,             0.55734,                0.75,             0.64068,             0.39484,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,              1.6695,              2.1475,              2.5255,             0.76136,             0.56964,             0.69131,             0.42323,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,              1.6868,              2.1113,              2.5262,             0.55654,             0.54643,             0.60502,             0.35418,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,              1.6661,              2.0732,              2.5279,              0.6718,                0.75,              0.7623,              0.4659,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,              1.6651,              2.0755,              2.4826,             0.46003,             0.80357,             0.72934,             0.37523,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,              1.6101,              2.0044,              2.4429,             0.49684,             0.78571,             0.65733,             0.41581,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,              1.5633,              1.9739,              2.4152,             0.43058,                0.75,             0.81854,             0.44359,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,              1.6191,              1.9496,              2.4366,             0.65657,             0.71086,             0.58868,             0.34002,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,               1.566,              1.9638,              2.4062,             0.29851,             0.96429,             0.66913,             0.31872,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,              1.6291,              1.9583,              2.4326,             0.45296,             0.85714,             0.69408,             0.46433,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,              1.5568,              1.9152,              2.3766,             0.78942,             0.64842,             0.68745,             0.41855,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  29,              1.5159,              1.8313,              2.3328,             0.39109,             0.96339,             0.60538,              0.3936,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  30,              1.6095,              1.9378,              2.4119,             0.49582,              0.8426,             0.71493,             0.42877,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
                  31,              1.5209,              1.8759,              2.3696,             0.50802,              0.8404,             0.74731,             0.44223,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  32,              1.4684,              1.7594,              2.2729,             0.84988,               0.725,             0.77077,             0.47647,                   0,                   0,                   0,            0.008977,            0.008977,            0.008977
                  33,               1.513,              1.8708,              2.3339,             0.48318,             0.94821,             0.78333,             0.49227,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  34,              1.5377,              1.8147,              2.3105,             0.76706,              0.6435,             0.75443,             0.45026,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  35,               1.464,              1.7337,              2.2736,             0.42719,             0.70233,             0.69226,             0.39314,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  36,              1.4791,              1.7249,               2.301,              0.3838,             0.80357,             0.66262,             0.42821,                   0,                   0,                   0,            0.008845,            0.008845,            0.008845
                  37,              1.4983,              1.7618,              2.2779,              0.5948,             0.66331,             0.76845,             0.48529,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  38,               1.498,              1.7876,              2.3177,             0.51883,             0.85072,             0.69902,             0.44548,                   0,                   0,                   0,            0.008779,            0.008779,            0.008779
                  39,              1.4463,              1.6522,              2.2401,             0.48308,             0.96429,             0.77503,             0.54728,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  40,              1.4634,              1.6788,              2.2745,             0.47896,             0.86429,             0.74109,             0.49582,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,              1.4973,              1.7208,              2.3049,             0.61786,             0.80669,             0.78962,             0.59183,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
