               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.5621,               6.097,              5.3155,           0.0022222,                 0.4,            0.053344,           0.0097785,                   0,                   0,                   0,              0.0748,              0.0028,              0.0028
                   1,              4.5373,              5.5506,              5.4485,           0.0022222,                 0.4,            0.044567,           0.0098613,                   0,                   0,                   0,            0.048587,           0.0055871,           0.0055871
                   2,              4.6491,              5.3676,              5.4729,           0.0022222,                 0.4,            0.014537,           0.0061992,                   0,                   0,                   0,            0.022259,           0.0082594,           0.0082594
                   3,              4.5532,              5.4691,              5.4348,           0.0022222,                 0.4,            0.016478,            0.006504,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,              4.5319,              5.9469,              5.3662,           0.0022222,                 0.4,            0.013844,           0.0069111,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              4.5506,              5.6137,              5.3993,           0.0022222,                 0.4,            0.013844,           0.0069111,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              4.4908,              5.3426,              5.5126,           0.0022222,                 0.4,            0.020403,           0.0072164,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,               4.407,              5.2611,              5.5017,           0.0021037,                 0.2,           0.0017559,          0.00055289,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              4.1876,              5.3212,               5.521,           0.0049419,                 0.2,           0.0039663,           0.0011899,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              4.7385,              5.3151,              5.4416,           0.0028377,                 0.4,           0.0018876,          0.00090476,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,               4.947,              6.3759,              5.6173,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              4.8738,              5.7649,              5.6092,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              4.4661,              5.5777,              5.5746,              0.0365,                 0.2,            0.016998,           0.0048147,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              4.3913,              5.2818,              5.6181,            0.026098,                 0.2,            0.010013,           0.0038966,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,              4.5059,              5.7615,              5.4139,              0.3442,                 0.4,             0.15958,            0.040884,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,              4.6859,              6.4796,              5.6574,            0.037037,                 0.2,            0.010924,            0.004116,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,              4.3896,              5.4417,              5.5845,            0.037037,                 0.2,            0.010924,            0.004116,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,              4.7082,              4.9861,              5.4962,            0.015873,                 0.2,           0.0093865,           0.0036199,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,              4.7344,              5.3985,              5.5424,            0.016029,                 0.8,            0.019689,           0.0048662,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,               4.483,              5.4623,              5.4445,           0.0093458,                 0.6,            0.012689,           0.0068957,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,              4.1371,              5.6472,              5.3052,           0.0073023,                 0.4,           0.0070167,           0.0022747,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
